registro,Estatus_piloto,id_mundial,Carrera_total,Carrera_mundial,Carrera_piloto,Puntos_carrera,Punto_acumulado_mundial,Clasificación,Puntos_clasificacion_fd2,Posicion_final,diferencia_companero,diferencia_posiciones,Victoria,Podio,out,Carrera_campeon,Posicion_acumulada_mundial,codigo_piloto,codigo_equipo,carrera_equipo,id_fd2,id_circuito,carr_equipo_campeon,id_piloto,Piloto,nacionalidad_piloto,Continente_piloto,id_equipo,Equipo,Jugador,Color,Color_Hex,circuito,Pais_circuito,Continente_circuito
RE1,Novato,1,1,1,1,0,0,1,10,9,2,-7,0,0,1,0,6,8,4,1,,1,0,8,Mad Max,Estados Unidos,Norte América,4,Doble Cero,Sergio,Verde,#00BE08,Mónaco,Mónaco,Europa
RE2,Novato,1,1,1,1,0,0,2,8,9,2,-6,0,0,1,0,8,3,1,1,,1,0,3,Speedy,Mexico,Norte América,1,Estrellas Rojas,Kitos,Rojo,#D72C14,Mónaco,Mónaco,Europa
RE3,Novato,1,1,1,1,8,8,6,3,2,1,4,0,1,0,0,2,4,2,1,,1,0,4,Billy Wheels,Estados Unidos,Norte América,2,Estelas Plateadas,Leo,Plateado,#b3b3b3,Mónaco,Mónaco,Europa
RE4,Novato,1,1,1,1,5,5,7,2,4,1,3,0,0,0,0,4,6,3,1,,1,0,6,Justa Victoria,Italia,Europa,3,CTS,Jes,Amarillo,#F28807,Mónaco,Mónaco,Europa
RE5,Veterano,1,1,1,1,10,10,8,1,1,1,7,1,1,0,0,1,2,4,1,,1,0,2,Jonny Gasolina,Estados Unidos,Norte América,4,Doble Cero,Sergio,Verde,#00BE08,Mónaco,Mónaco,Europa
RE6,Veterano,1,1,1,1,6,6,3,6,3,1,0,0,1,0,0,3,1,1,1,,1,0,1,Osborne,España,Europa,1,Estrellas Rojas,Kitos,Rojo,#D72C14,Mónaco,Mónaco,Europa
RE7,Veterano,1,1,1,1,0,0,5,4,9,2,-3,0,0,1,0,7,7,2,1,,1,0,7,Fausto,Reino Unido,Europa,2,Estelas Plateadas,Leo,Plateado,#b3b3b3,Mónaco,Mónaco,Europa
RE8,Veterano,1,1,1,1,4,4,4,5,5,2,-1,0,0,0,0,5,5,3,1,,1,0,5,Frenando Alfonso,España,Europa,3,CTS,Jes,Amarillo,#F28807,Mónaco,Mónaco,Europa
RE153,Novato,2,20,6,6,0,6,3,6,9,2,-5,0,0,1,0,8,9,3,20,,1,0,9,Friki Lauda,Austria,Europa,3,CTS,Jes,Amarillo,#F28807,Mónaco,Mónaco,Europa
RE154,Novato,2,20,6,6,2,19,5,3,6,2,-1,0,0,0,0,7,10,2,20,,1,0,10,Aitor Menta,España,Europa,2,Estelas Plateadas,Leo,Plateado,#b3b3b3,Mónaco,Mónaco,Europa
RE155,Novato,2,20,6,6,4,23,7,1,4,2,3,0,0,0,0,5,11,4,20,,1,0,11,Jimmy sin Diesel,Estados Unidos,Norte América,4,Doble Cero,Sergio,Verde,#00BE08,Mónaco,Mónaco,Europa
RE156,Novato,2,20,6,20,8,32,2,8,2,1,0,0,1,0,0,2,3,1,20,,1,0,3,Speedy,Mexico,Norte América,1,Estrellas Rojas,Kitos,Rojo,#D72C14,Mónaco,Mónaco,Europa
RE157,Veterano,2,20,6,20,0,19,1,10,9,2,-7,0,0,1,0,6,1,1,20,,1,0,1,Osborne,España,Europa,1,Estrellas Rojas,Kitos,Rojo,#D72C14,Mónaco,Mónaco,Europa
RE158,Veterano,2,20,6,20,10,30,6,2,1,1,5,1,1,0,0,4,4,2,20,,1,0,4,Billy Wheels,Estados Unidos,Norte América,2,Estelas Plateadas,Leo,Plateado,#b3b3b3,Mónaco,Mónaco,Europa
RE159,Veterano,2,20,6,20,6,31,8,0,3,1,5,0,1,0,0,3,2,4,20,,1,0,2,Jonny Gasolina,Estados Unidos,Norte América,4,Doble Cero,Sergio,Verde,#00BE08,Mónaco,Mónaco,Europa
RE160,Veterano,2,20,6,20,3,33,4,4,5,1,-1,0,0,0,0,1,5,3,20,,1,0,5,Frenando Alfonso,España,Europa,3,CTS,Jes,Amarillo,#F28807,Mónaco,Mónaco,Europa
RE297,Novato,4,38,4,4,4,23,7,2,5,2,2,0,0,0,0,2,15,3,38,,1,0,15,Emerson Frikipaldi,Brasil,Sudamérica,3,CTS,Jes,Amarillo,#F28807,Mónaco,Mónaco,Europa
RE298,Novato,4,38,4,4,2,19,6,3,7,1,-1,0,0,0,0,3,16,4,38,,1,0,16,Sony Diotas,Italia,Europa,4,Doble Cero,Sergio,Verde,#00BE08,Mónaco,Mónaco,Europa
RE299,Veterano,4,38,4,4,10,34,2,8,1,1,1,1,1,0,0,1,14,3,38,,1,0,14,Michael Schufaker,Alemania,Europa,3,CTS,Jes,Amarillo,#F28807,Mónaco,Mónaco,Europa
RE300,Veterano,4,38,4,4,0,16,5,4,8,2,-3,0,0,0,0,4,17,4,38,,1,0,17,Jonny G. Junior,Estados Unidos,Norte América,4,Doble Cero,Sergio,Verde,#00BE08,Mónaco,Mónaco,Europa
RE301,Novato,4,38,4,9,3,13,8,0,6,2,2,0,0,0,0,7,13,2,38,,1,0,13,Toikoma Toso,Japón,Asia,2,Estelas Plateadas,Leo,Plateado,#b3b3b3,Mónaco,Mónaco,Europa
RE302,Veterano,4,38,4,14,5,14,4,5,4,2,0,0,0,0,0,6,12,1,38,,1,0,12,Vatto Dovlao,Portugal,Europa,1,Estrellas Rojas,Kitos,Rojo,#D72C14,Mónaco,Mónaco,Europa
